scene_id,title,release_scene_meta,release_scene_steps,source_copy_scene_meta,source_copy_scene_steps,runtime_extension,motion_script,mode,trigger_methods
wake_up,起床,scripts/scenes.py:187,scripts/scenes.py:574,main_repo_source_copy/scripts/scenes.py:187,main_repo_source_copy/scripts/scenes.py:574,,Motions/01_wake_up/scene_script.py:14,static,"booth_controller; director console /api/run/wake_up; bridge run-scene; vision target_seen -> wake_up"
curious_observe,好奇你是谁,scripts/scenes.py:198,scripts/scenes.py:623,main_repo_source_copy/scripts/scenes.py:198,main_repo_source_copy/scripts/scenes.py:623,scripts/mira_light_runtime.py:1226,Motions/02_curious_observe/scene_script.py:14,dynamic_builder,"run-scene; vision scene_hint=curious_observe; runtime scene_context builder"
touch_affection,摸一摸,scripts/scenes.py:209,scripts/scenes.py:689,main_repo_source_copy/scripts/scenes.py:209,main_repo_source_copy/scripts/scenes.py:689,scripts/mira_light_runtime.py:1408,Motions/03_touch_affection/scene_script.py:14,dynamic_builder,"run-scene; trigger_event hand_near/touch_detected; vision hand cue"
cute_probe,卖萌,scripts/scenes.py:231,scripts/scenes.py:757,main_repo_source_copy/scripts/scenes.py:231,main_repo_source_copy/scripts/scenes.py:757,,Motions/04_cute_probe/scene_script.py:14,static,"run-scene"
daydream,发呆,scripts/scenes.py:242,scripts/scenes.py:799,main_repo_source_copy/scripts/scenes.py:242,main_repo_source_copy/scripts/scenes.py:799,,Motions/05_daydream/scene_script.py:14,static,"run-scene"
standup_reminder,久坐检测：蹭蹭,scripts/scenes.py:253,scripts/scenes.py:837,main_repo_source_copy/scripts/scenes.py:253,main_repo_source_copy/scripts/scenes.py:837,,Motions/06_standup_reminder/scene_script.py:14,static,"run-scene"
track_target,追踪,scripts/scenes.py:264,scripts/scenes.py:900,main_repo_source_copy/scripts/scenes.py:264,main_repo_source_copy/scripts/scenes.py:900,scripts/mira_light_runtime.py:1602,Motions/07_track_target/scene_script.py:14,hybrid,"fallback run-scene; main live path vision_runtime_bridge -> apply_tracking_event"
celebrate,跳舞模式,scripts/scenes.py:275,scripts/scenes.py:935,main_repo_source_copy/scripts/scenes.py:275,main_repo_source_copy/scripts/scenes.py:935,,Motions/08_celebrate/scene_script.py:14,static,"run-scene"
farewell,挥手送别,scripts/scenes.py:286,scripts/scenes.py:1007,main_repo_source_copy/scripts/scenes.py:286,main_repo_source_copy/scripts/scenes.py:1007,scripts/mira_light_runtime.py:1369,Motions/09_farewell/scene_script.py:14,dynamic_builder,"run-scene; trigger_event farewell_detected; vision target_lost can route here"
sleep,睡觉,scripts/scenes.py:297,scripts/scenes.py:1045,main_repo_source_copy/scripts/scenes.py:297,main_repo_source_copy/scripts/scenes.py:1045,,Motions/10_sleep/scene_script.py:14,static,"run-scene; vision missing-target timeout -> sleep"

